MachineID,Date,Failure,RepairType,DowntimeHours
M071,20-01-2025,N,Major,14
M030,2025/01/02,Y,Minor,4
M073,2025-02-08,Y,Minor,1
M057,09-04-2025,N,Minor,1
M026,2025-06-21,Y,Minor,11
M077,20-01-2025,Y,,9
M093,03-04-2025,Y,,1
M044,23-05-2025,Y,,6
M091,29-06-2025,Y,Minor,8
M091,27-02-2025,Y,Minor,6
M084,26-04-2025,Y,Major,2
M034,26-05-2025,Y,,2
M057,2025/04/15,Y,,13
M053,10-07-2025,Y,Minor,13
M023,14-02-2025,Y,Major,2
M082,2025/05/31,N,Major,15
M044,2025-04-22,Y,,14
M030,09-01-2025,Y,,15
M061,2025/04/26,Y,Minor,5
M076,2025-03-29,Y,Major,9
M019,2025-05-07,N,Major,4
M016,2025/07/03,Y,Minor,15
M003,03-01-2025,Y,,2
M055,2025-01-28,Y,,5
M062,2025-04-29,N,Major,8
M013,06-06-2025,N,,6
M029,2025/05/14,N,Minor,12
M063,2025-05-30,Y,,15
M008,2025-01-21,Y,Major,11
M007,2025-02-05,Y,,1
M018,17-01-2025,N,Major,11
M073,2025-06-21,N,,14
M013,2025/01/13,N,Major,1
M095,2025-02-26,N,,6
M097,2025-07-17,N,,5
M039,2025-02-27,Y,Major,13
M096,2025/06/21,N,,15
M016,2025/07/15,N,,9
M044,15-02-2025,N,Major,15
M017,2025-04-07,Y,,14
M055,2025/04/04,Y,Minor,5
M019,2025-06-09,N,Major,8
M052,12-01-2025,Y,Major,9
M008,11-05-2025,Y,Major,3
M068,2025-03-30,N,,7
M019,2025/07/03,Y,Minor,15
M073,2025/03/13,N,,5
M002,2025-04-09,Y,,5
M051,2025/05/07,N,Major,14
M020,2025-02-07,N,Major,11
M092,24-04-2025,N,Minor,9
M041,2025/03/29,Y,Major,12
M059,2025-01-27,N,,14
M069,27-01-2025,Y,Minor,10
M085,2025-05-07,N,,3
M091,01-02-2025,Y,Minor,15
M015,15-02-2025,Y,Major,5
M039,2025-04-10,N,,11
M026,2025-03-28,N,Minor,4
M078,2025/05/25,Y,Minor,11
M088,2025/04/14,Y,Minor,6
M051,2025/06/26,N,Major,13
M035,2025-04-11,N,Minor,2
M099,2025/04/09,Y,,13
M012,2025-04-08,N,Major,3
M026,2025-05-18,N,Major,5
M041,01-01-2025,Y,Major,6
M097,15-04-2025,N,,13
M076,2025-01-31,Y,Major,4
M087,23-01-2025,N,Major,15
M030,2025-04-25,Y,,14
M041,2025-05-09,Y,Major,9
M047,2025/04/20,N,Minor,1
M063,2025/01/21,Y,Major,15
M078,2025-01-20,Y,Minor,13
M044,24-04-2025,Y,Minor,14
M081,2025/04/27,Y,,9
M076,2025/02/18,N,Minor,13
M083,2025/01/21,Y,Minor,15
M045,2025-06-25,Y,Major,11
M040,2025/02/10,N,,10
M077,2025-03-06,N,,4
M020,2025/01/28,Y,Major,2
M058,2025-07-11,N,Major,7
M079,2025/04/09,N,,5
M038,2025-03-26,N,Minor,14
M072,2025/05/28,N,Major,10
M052,2025-03-25,N,Major,12
M075,01-07-2025,Y,,10
M085,2025-05-08,N,Major,1
M023,04-03-2025,Y,Major,10
M052,2025-06-21,Y,,2
M096,2025-03-13,N,,11
M052,2025-07-15,Y,,6
M064,02-06-2025,Y,Major,13
M053,2025-01-05,Y,Major,5
M051,2025/06/17,N,Minor,7
M040,2025-07-06,N,Minor,7
M044,2025/07/13,Y,Minor,9
M019,02-01-2025,Y,Major,9
M022,23-01-2025,Y,Minor,1
M077,2025-04-17,Y,Major,13
M063,2025/01/04,N,Minor,3
M070,2025-02-02,N,Major,2
M088,03-06-2025,Y,Major,5
M087,01-06-2025,N,,4
M092,04-01-2025,N,,9
M048,2025/03/03,Y,Minor,8
M045,2025-05-16,Y,Minor,5
M008,2025/05/01,N,,15
M071,2025-05-11,Y,,4
M051,08-04-2025,Y,Major,15
M028,2025/04/05,N,Minor,4
M100,2025/02/12,N,Minor,12
M060,2025/01/26,N,,15
M035,2025-07-01,Y,,1
M098,20-03-2025,Y,,9
M021,10-03-2025,N,Major,5
M072,2025/01/02,N,,9
M004,2025/07/03,N,Minor,3
M047,18-07-2025,Y,,7
M031,2025-02-26,Y,,10
M098,2025/01/10,Y,,3
M021,2025-01-15,Y,,10
M010,2025/03/11,N,Minor,9
M006,2025-07-08,N,,2
M007,2025-06-21,Y,,4
M037,2025-07-16,Y,Minor,9
M060,2025-02-20,N,,7
M005,2025-01-28,Y,Minor,9
M058,26-05-2025,N,Major,10
M080,2025/03/05,Y,,9
M008,29-03-2025,N,Major,13
M039,2025/07/11,Y,Minor,1
M013,2025/05/21,Y,Major,11
M086,12-01-2025,Y,Major,14
M005,2025-02-08,N,Major,2
M025,07-04-2025,Y,Minor,14
M093,09-05-2025,Y,Major,11
M084,2025-01-23,Y,Minor,10
M056,14-05-2025,Y,Major,5
M011,2025/06/02,N,Minor,10
M002,2025-05-19,Y,Minor,15
M092,2025-04-20,N,,10
M088,2025/07/11,N,Major,13
M092,12-07-2025,N,,5
M012,20-04-2025,N,,15
M086,16-05-2025,N,,14
M010,22-03-2025,N,Major,7
M053,2025/04/03,Y,Minor,11
M059,2025-02-06,Y,Major,7
M038,17-04-2025,Y,Major,3
M043,2025/01/09,Y,,12
M021,22-05-2025,N,,5
M059,20-06-2025,Y,Minor,7
M076,2025-01-25,Y,,13
M041,27-01-2025,N,,5
M099,2025-01-21,Y,,1
M090,2025-06-23,N,,4
M028,2025-06-10,N,Major,15
M089,28-05-2025,Y,Minor,10
M041,2025-07-01,Y,Major,9
M080,2025-02-27,N,Major,5
M091,01-06-2025,N,Minor,5
M037,01-06-2025,N,Major,9
M008,15-01-2025,Y,Major,6
M017,2025-02-06,Y,Major,12
M077,2025/01/22,Y,Minor,4
M049,2025/01/27,N,Major,11
M048,2025-07-04,Y,,3
M075,2025/04/29,Y,Major,1
M047,2025-05-28,N,Minor,11
M048,23-05-2025,N,Major,10
M034,2025/07/10,N,,11
M090,15-07-2025,N,Minor,5
M042,2025/01/28,N,,15
M055,2025/02/07,Y,,9
M014,28-02-2025,Y,Major,15
M071,2025/05/31,Y,Minor,15
M010,2025/02/06,N,Minor,9
M068,2025-01-16,Y,Minor,1
M026,2025-05-25,N,Major,6
M019,14-02-2025,Y,Major,7
M059,2025/05/16,Y,,9
M047,2025-04-03,N,Major,1
M081,2025-07-13,Y,Minor,8
M019,2025-05-20,Y,Major,9
M079,2025-04-06,Y,Major,9
M069,2025-01-06,N,Minor,13
M020,2025/05/08,N,Minor,5
M086,05-04-2025,Y,Minor,13
M098,2025/01/12,Y,Major,8
M019,23-03-2025,N,Minor,11
M083,2025/03/21,N,,7
M020,2025-03-24,N,Minor,3
M070,10-04-2025,N,Major,1
M081,2025-07-15,Y,Major,8
M036,13-03-2025,N,,10
M010,2025-03-06,N,,8
M001,04-04-2025,N,,5
M036,2025-05-18,Y,Minor,9
M078,11-05-2025,N,Minor,14
M048,17-03-2025,Y,,7
M057,2025/01/23,Y,Minor,14
M064,2025/03/31,Y,Major,7
M054,22-05-2025,N,Major,13
M049,2025/04/28,N,Minor,10
M057,2025/04/26,N,,10
M058,06-03-2025,N,Minor,4
M012,2025-05-03,N,,10
M090,11-05-2025,N,Major,15
M032,2025-01-30,N,,11
M091,21-05-2025,Y,Major,1
M065,23-05-2025,Y,,15
M032,2025-06-11,N,,12
M078,2025/05/11,N,Major,7
M031,2025-01-17,N,Major,5
M091,2025/01/11,N,,11
M050,2025-01-21,N,,14
M087,01-03-2025,N,,13
M061,2025-03-27,Y,Minor,7
M043,2025/03/14,N,Major,9
M036,2025-07-18,N,,11
M023,13-04-2025,Y,,7
M058,30-04-2025,N,Major,6
M035,2025/01/17,N,,14
M089,2025-01-08,N,,8
M052,2025-03-21,N,Major,4
M012,2025-03-21,Y,Minor,15
M072,28-04-2025,Y,Minor,10
M084,2025/03/03,N,Minor,12
M069,26-02-2025,N,Minor,6
M043,2025-04-19,N,Minor,5
M054,2025-03-20,N,,14
M081,20-04-2025,N,Major,6
M012,2025-04-14,N,Major,15
M005,2025-07-13,N,Minor,7
M059,31-01-2025,N,,8
M008,2025-06-06,Y,,2
M056,2025-03-10,N,Major,2
M038,2025-03-05,N,Major,12
M021,2025/01/25,N,Major,8
M080,2025-07-19,N,Minor,7
M062,2025/06/26,Y,Major,5
M043,16-01-2025,N,Minor,13
M030,2025/06/08,Y,Major,3
M088,2025-04-04,Y,Major,2
M052,2025-02-08,Y,,1
M095,2025/02/20,N,Minor,8
M022,02-02-2025,Y,,8
M026,2025-06-19,Y,,5
M018,2025-03-05,Y,Major,11
M015,2025/03/07,N,,11
M066,2025-05-25,Y,,8
M038,2025-02-12,Y,,15
M064,2025-04-01,Y,Major,2
M026,18-02-2025,N,Minor,3
M081,19-07-2025,Y,Major,14
M087,2025/06/19,Y,Minor,5
M084,2025-04-13,Y,Major,12
M045,2025/07/15,Y,Major,2
M059,2025-06-11,Y,,5
M057,02-02-2025,Y,Major,3
M027,2025-01-08,Y,Major,6
M060,2025-03-10,N,Major,10
M068,2025/03/06,N,Minor,6
M089,05-06-2025,N,Minor,7
M023,30-03-2025,Y,Minor,4
M016,03-04-2025,N,,3
M084,2025/02/14,Y,Major,10
M100,31-01-2025,Y,,6
